Year,StateAbbr,StateDesc,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,Geolocation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,
2021,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Arthritis among adults aged >=18 years,%,Crude prevalence,20.5,17.8,23.4,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis,
2021,NC,North Carolina,Cornelius,BRFSS,Health Status,Mental health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,13.3,11.8,15.1,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHSTAT,MHLTH,AgeAdjPrv,Mental Health,
2021,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Age-adjusted prevalence,7.7,6.6,8.9,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,DIABETES,AgeAdjPrv,Diabetes,
2021,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,7.7,6.6,8.9,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,DIABETES,CrdPrv,Diabetes,
2021,NC,North Carolina,Cornelius,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Age-adjusted prevalence,5,4.4,5.6,"25,000",POINT (-80.8847801 35.47288109),3714700,DISABLT,INDEPLIVE,AgeAdjPrv,Independent Living Disability,
2021,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Crude prevalence,21.9,18.9,25.1,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,DEPRESSION,CrdPrv,Depression,
2021,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.4,5.8,7,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,CANCER,AgeAdjPrv,Cancer (except skin),
2023,NC,North Carolina,Cornelius,BRFSS,Disability,Independent living disability among adults,%,Age-adjusted prevalence,5.3,4.7,5.9,"24,571","31,412",POINT (-80.8813294 35.4732344),3714700,DISABLT,INDEPLIVE,AgeAdjPrv,Independent Living Disability
2023,NC,North Carolina,Cornelius,BRFSS,Disability,Independent living disability among adults,%,Crude prevalence,5.3,4.7,5.9,"24,571","31,412",POINT (-80.8813294 35.4732344),3714700,DISABLT,INDEPLIVE,CrdPrv,Independent Living Disability
2023,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Arthritis among adults,%,Age-adjusted prevalence,21.1,18.5,23.7,"24,571","31,412",POINT (-80.8813294 35.4732344),3714700,HLTHOUT,ARTHRITIS,AgeAdjPrv,Arthritis
2023,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Arthritis among adults,%,Crude prevalence,24.9,21.9,27.8,"24,571","31,412",POINT (-80.8813294 35.4732344),3714700,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis
2023,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Cancer (non-skin) or melanoma among adults,%,Age-adjusted prevalence,7.7,6.9,8.4,"24,571","31,412",POINT (-80.8813294 35.4732344),3714700,HLTHOUT,CANCER,AgeAdjPrv,Cancer (non-skin) or Melanoma
2023,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Cancer (non-skin) or melanoma among adults,%,Crude prevalence,9.2,8.3,10.1,"24,571","31,412",POINT (-80.8813294 35.4732344),3714700,HLTHOUT,CANCER,CrdPrv,Cancer (non-skin) or Melanoma
2023,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Age-adjusted prevalence,7.1,6,8.1,"24,571","31,412",POINT (-80.8813294 35.4732344),3714700,HLTHOUT,DIABETES,AgeAdjPrv,Diabetes
2023,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,8.6,7.3,9.8,"24,571","31,412",POINT (-80.8813294 35.4732344),3714700,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Obesity among adults,%,Age-adjusted prevalence,25.1,20.6,29.8,"24,571","31,412",POINT (-80.8813294 35.4732344),3714700,HLTHOUT,OBESITY,AgeAdjPrv,Obesity
2023,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Obesity among adults,%,Crude prevalence,25.8,21.1,30.6,"24,571","31,412",POINT (-80.8813294 35.4732344),3714700,HLTHOUT,OBESITY,CrdPrv,Obesity
2023,NC,North Carolina,Cornelius,BRFSS,Health Status,Frequent mental distress among adults,%,Age-adjusted prevalence,14.7,12.9,16.5,"24,571","31,412",POINT (-80.8813294 35.4732344),3714700,HLTHSTAT,MHLTH,AgeAdjPrv,Frequent Mental Distress
2023,NC,North Carolina,Cornelius,BRFSS,Health Status,Frequent mental distress among adults,%,Crude prevalence,13.7,12,15.4,"24,571","31,412",POINT (-80.8813294 35.4732344),3714700,HLTHSTAT,MHLTH,CrdPrv,Frequent Mental Distress
2023,NC,North Carolina,Cornelius,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults,%,Age-adjusted prevalence,77.6,74,80.8,"24,571","31,412",POINT (-80.8813294 35.4732344),3714700,PREVENT,CHECKUP,AgeAdjPrv,Annual Checkup
2023,NC,North Carolina,Cornelius,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults,%,Crude prevalence,79.9,76.6,82.8,"24,571","31,412",POINT (-80.8813294 35.4732344),3714700,PREVENT,CHECKUP,CrdPrv,Annual Checkup
2023,NC,North Carolina,Cornelius,BRFSS,Health-Related Social Needs,Lack of social and emotional support among adults,%,Age-adjusted prevalence,19.1,16.3,22.1,"24,571","31,412",POINT (-80.8813294 35.4732344),3714700,SOCLNEED,EMOTIONSPT,AgeAdjPrv,Lack of Social/Emotional Support
2023,NC,North Carolina,Cornelius,BRFSS,Health-Related Social Needs,Lack of social and emotional support among adults,%,Crude prevalence,18.5,15.8,21.4,"24,571","31,412",POINT (-80.8813294 35.4732344),3714700,SOCLNEED,EMOTIONSPT,CrdPrv,Lack of Social/Emotional Support
2023,NC,North Carolina,Cornelius,BRFSS,Health-Related Social Needs,Loneliness among adults,%,Age-adjusted prevalence,29.8,25.7,34.4,"24,571","31,412",POINT (-80.8813294 35.4732344),3714700,SOCLNEED,LONELINESS,AgeAdjPrv,Loneliness
2023,NC,North Carolina,Cornelius,BRFSS,Health-Related Social Needs,Loneliness among adults,%,Crude prevalence,28.3,24.3,32.6,"24,571","31,412",POINT (-80.8813294 35.4732344),3714700,SOCLNEED,LONELINESS,CrdPrv,Loneliness
