Year,StateAbbr,StateDesc,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,Geolocation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text
2020,NC,North Carolina,Cornelius,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Age-adjusted prevalence,76.6,75.2,77.8,"25,000",POINT (-80.8847801 35.47288109),3714700,PREVENT,COLON_SCREEN,AgeAdjPrv,Colorectal Cancer Screening
2021,NC,North Carolina,Cornelius,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Crude prevalence,2.9,2.6,3.2,"25,000",POINT (-80.8847801 35.47288109),3714700,DISABLT,VISION,CrdPrv,Vision Disability
2021,NC,North Carolina,Cornelius,BRFSS,Prevention,Cholesterol screening among adults aged >=18 years,%,Crude prevalence,88.1,86.1,90,"25,000",POINT (-80.8847801 35.47288109),3714700,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
2021,NC,North Carolina,Cornelius,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Age-adjusted prevalence,8,6.8,9.4,"25,000",POINT (-80.8847801 35.47288109),3714700,PREVENT,ACCESS2,AgeAdjPrv,Health Insurance
2021,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Crude prevalence,8.9,7.9,10,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2021,NC,North Carolina,Cornelius,BRFSS,Disability,Hearing disability among adults aged >=18 years,%,Crude prevalence,5.3,4.7,6,"25,000",POINT (-80.8847801 35.47288109),3714700,DISABLT,HEARING,CrdPrv,Hearing Disability
2021,NC,North Carolina,Cornelius,BRFSS,Disability,Cognitive disability among adults ages >=18 years,%,Crude prevalence,9.5,8.3,10.9,"25,000",POINT (-80.8847801 35.47288109),3714700,DISABLT,COGNITION,CrdPrv,Cognitive Disability
2020,NC,North Carolina,Cornelius,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Age-adjusted prevalence,59.1,55.4,62.5,"25,000",POINT (-80.8847801 35.47288109),3714700,PREVENT,COREM,AgeAdjPrv,Core preventive services for older men
2021,NC,North Carolina,Cornelius,BRFSS,Disability,Self-care disability among adults aged >=18 years,%,Age-adjusted prevalence,2.2,2,2.5,"25,000",POINT (-80.8847801 35.47288109),3714700,DISABLT,SELFCARE,AgeAdjPrv,Self-care Disability
2021,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Age-adjusted prevalence,2.2,2,2.4,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,STROKE,AgeAdjPrv,Stroke
2020,NC,North Carolina,Cornelius,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Age-adjusted prevalence,27.7,27,28.3,"25,000",POINT (-80.8847801 35.47288109),3714700,RISKBEH,SLEEP,AgeAdjPrv,Sleep <7 hours
2021,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Age-adjusted prevalence,25.7,22.8,28.8,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,BPHIGH,AgeAdjPrv,High Blood Pressure
2021,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Age-adjusted prevalence,7.7,6.6,8.9,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,DIABETES,AgeAdjPrv,Diabetes
2021,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Chronic kidney disease among adults aged >=18 years,%,Crude prevalence,2.2,2.1,2.4,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,KIDNEY,CrdPrv,Chronic Kidney Disease
2021,NC,North Carolina,Cornelius,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults aged >=18 years,%,Age-adjusted prevalence,15.1,12.8,17.7,"25,000",POINT (-80.8847801 35.47288109),3714700,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity
2021,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Diagnosed diabetes among adults aged >=18 years,%,Crude prevalence,7.7,6.6,8.9,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,DIABETES,CrdPrv,Diabetes
2021,NC,North Carolina,Cornelius,BRFSS,Disability,Cognitive disability among adults ages >=18 years,%,Age-adjusted prevalence,9.6,8.4,10.9,"25,000",POINT (-80.8847801 35.47288109),3714700,DISABLT,COGNITION,AgeAdjPrv,Cognitive Disability
2021,NC,North Carolina,Cornelius,BRFSS,Disability,Self-care disability among adults aged >=18 years,%,Crude prevalence,2.2,2,2.5,"25,000",POINT (-80.8847801 35.47288109),3714700,DISABLT,SELFCARE,CrdPrv,Self-care Disability
2020,NC,North Carolina,Cornelius,BRFSS,Prevention,"Older adult men aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening",%,Crude prevalence,58.2,54,61.9,"25,000",POINT (-80.8847801 35.47288109),3714700,PREVENT,COREM,CrdPrv,Core preventive services for older men
2021,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,High blood pressure among adults aged >=18 years,%,Crude prevalence,25.5,22.6,28.6,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
2020,NC,North Carolina,Cornelius,BRFSS,Prevention,Mammography use among women aged 50-74 years,%,Age-adjusted prevalence,78.6,76.8,80.3,"25,000",POINT (-80.8847801 35.47288109),3714700,PREVENT,MAMMOUSE,AgeAdjPrv,Mammography
2021,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Current asthma among adults aged >=18 years,%,Age-adjusted prevalence,8.8,7.8,9.9,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,CASTHMA,AgeAdjPrv,Current Asthma
2020,NC,North Carolina,Cornelius,BRFSS,Health Risk Behaviors,Sleeping less than 7 hours among adults aged >=18 years,%,Crude prevalence,28.4,27.6,29,"25,000",POINT (-80.8847801 35.47288109),3714700,RISKBEH,SLEEP,CrdPrv,Sleep <7 hours
2020,NC,North Carolina,Cornelius,BRFSS,Prevention,Visits to dentist or dental clinic among adults aged >=18 years,%,Crude prevalence,73.7,72.2,75.1,"25,000",POINT (-80.8847801 35.47288109),3714700,PREVENT,DENTAL,CrdPrv,Dental Visit
2021,NC,North Carolina,Cornelius,BRFSS,Disability,Independent living disability among adults aged >=18 years,%,Age-adjusted prevalence,5,4.4,5.6,"25,000",POINT (-80.8847801 35.47288109),3714700,DISABLT,INDEPLIVE,AgeAdjPrv,Independent Living Disability
2021,NC,North Carolina,Cornelius,BRFSS,Health Risk Behaviors,Binge drinking among adults aged >=18 years,%,Crude prevalence,21,18,24.2,"25,000",POINT (-80.8847801 35.47288109),3714700,RISKBEH,BINGE,CrdPrv,Binge Drinking
2021,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Depression among adults aged >=18 years,%,Crude prevalence,21.9,18.9,25.1,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,DEPRESSION,CrdPrv,Depression
2021,NC,North Carolina,Cornelius,BRFSS,Disability,Mobility disability among adults aged >=18 years,%,Crude prevalence,8.9,7.7,10.2,"25,000",POINT (-80.8847801 35.47288109),3714700,DISABLT,MOBILITY,CrdPrv,Mobility Disability
2021,NC,North Carolina,Cornelius,BRFSS,Disability,Vision disability among adults aged >=18 years,%,Age-adjusted prevalence,2.9,2.6,3.3,"25,000",POINT (-80.8847801 35.47288109),3714700,DISABLT,VISION,AgeAdjPrv,Vision Disability
2021,NC,North Carolina,Cornelius,BRFSS,Disability,Any disability among adults aged >=18 years,%,Age-adjusted prevalence,22.1,19.4,25,"25,000",POINT (-80.8847801 35.47288109),3714700,DISABLT,DISABILITY,AgeAdjPrv,Any Disability
2021,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults aged >=18 years,%,Crude prevalence,4.5,3.9,5.2,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,COPD,CrdPrv,COPD
2021,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Stroke among adults aged >=18 years,%,Crude prevalence,2.1,1.9,2.3,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,STROKE,CrdPrv,Stroke
2020,NC,North Carolina,Cornelius,BRFSS,Prevention,"Older adult women aged >=65 years who are up to date on a core set of clinical preventive services: Flu shot past year, PPV shot ever, Colorectal cancer screening, and Mammogram past 2 years",%,Age-adjusted prevalence,54.3,51.1,57.5,"25,000",POINT (-80.8847801 35.47288109),3714700,PREVENT,COREW,AgeAdjPrv,Core preventive services for older women
2021,NC,North Carolina,Cornelius,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Age-adjusted prevalence,8,7,9.2,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHSTAT,PHLTH,AgeAdjPrv,Physical Health
2021,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Cancer (excluding skin cancer) among adults aged >=18 years,%,Age-adjusted prevalence,6.4,5.8,7,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,CANCER,AgeAdjPrv,Cancer (except skin)
2021,NC,North Carolina,Cornelius,BRFSS,Health Status,Fair or poor self-rated health status among adults aged >=18 years,%,Age-adjusted prevalence,9,7.9,10.3,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHSTAT,GHLTH,AgeAdjPrv,General Health
2020,NC,North Carolina,Cornelius,BRFSS,Prevention,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,Crude prevalence,76.1,74.8,77.4,"25,000",POINT (-80.8847801 35.47288109),3714700,PREVENT,COLON_SCREEN,CrdPrv,Colorectal Cancer Screening
2021,NC,North Carolina,Cornelius,BRFSS,Disability,Hearing disability among adults aged >=18 years,%,Age-adjusted prevalence,5.8,5.2,6.5,"25,000",POINT (-80.8847801 35.47288109),3714700,DISABLT,HEARING,AgeAdjPrv,Hearing Disability
2021,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Coronary heart disease among adults aged >=18 years,%,Age-adjusted prevalence,4.4,3.9,4.9,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHOUT,CHD,AgeAdjPrv,Coronary Heart Disease
2021,NC,North Carolina,Cornelius,BRFSS,Health Status,Physical health not good for >=14 days among adults aged >=18 years,%,Crude prevalence,8.1,7.1,9.2,"25,000",POINT (-80.8847801 35.47288109),3714700,HLTHSTAT,PHLTH,CrdPrv,Physical Health
2023,NC,North Carolina,Cornelius,BRFSS,Disability,Cognitive disability among adults,%,Age-adjusted prevalence,11.3,9.9,12.7,"31,412",POINT (-80.8813294 35.4732344),3714700,DISABLT,COGNITION,AgeAdjPrv,Cognitive Disability
2023,NC,North Carolina,Cornelius,BRFSS,Disability,Cognitive disability among adults,%,Crude prevalence,10.6,9.3,11.9,"31,412",POINT (-80.8813294 35.4732344),3714700,DISABLT,COGNITION,CrdPrv,Cognitive Disability
2023,NC,North Carolina,Cornelius,BRFSS,Disability,Any disability among adults,%,Age-adjusted prevalence,23,19.9,26.2,"31,412",POINT (-80.8813294 35.4732344),3714700,DISABLT,DISABILITY,AgeAdjPrv,Any Disability
2023,NC,North Carolina,Cornelius,BRFSS,Disability,Any disability among adults,%,Crude prevalence,23.8,20.6,27,"31,412",POINT (-80.8813294 35.4732344),3714700,DISABLT,DISABILITY,CrdPrv,Any Disability
2023,NC,North Carolina,Cornelius,BRFSS,Disability,Hearing disability among adults,%,Age-adjusted prevalence,5.4,4.7,6,"31,412",POINT (-80.8813294 35.4732344),3714700,DISABLT,HEARING,AgeAdjPrv,Hearing Disability
2023,NC,North Carolina,Cornelius,BRFSS,Disability,Hearing disability among adults,%,Crude prevalence,6,5.3,6.7,"31,412",POINT (-80.8813294 35.4732344),3714700,DISABLT,HEARING,CrdPrv,Hearing Disability
2023,NC,North Carolina,Cornelius,BRFSS,Disability,Independent living disability among adults,%,Age-adjusted prevalence,5.3,4.7,5.9,"31,412",POINT (-80.8813294 35.4732344),3714700,DISABLT,INDEPLIVE,AgeAdjPrv,Independent Living Disability
2023,NC,North Carolina,Cornelius,BRFSS,Disability,Independent living disability among adults,%,Crude prevalence,5.3,4.7,5.9,"31,412",POINT (-80.8813294 35.4732344),3714700,DISABLT,INDEPLIVE,CrdPrv,Independent Living Disability
2023,NC,North Carolina,Cornelius,BRFSS,Disability,Mobility disability among adults,%,Age-adjusted prevalence,8.1,7,9.3,"31,412",POINT (-80.8813294 35.4732344),3714700,DISABLT,MOBILITY,AgeAdjPrv,Mobility Disability
2023,NC,North Carolina,Cornelius,BRFSS,Disability,Mobility disability among adults,%,Crude prevalence,9.4,8.1,10.8,"31,412",POINT (-80.8813294 35.4732344),3714700,DISABLT,MOBILITY,CrdPrv,Mobility Disability
2023,NC,North Carolina,Cornelius,BRFSS,Disability,Self-care disability among adults,%,Age-adjusted prevalence,2.2,2,2.4,"31,412",POINT (-80.8813294 35.4732344),3714700,DISABLT,SELFCARE,AgeAdjPrv,Self-care Disability
2023,NC,North Carolina,Cornelius,BRFSS,Disability,Self-care disability among adults,%,Crude prevalence,2.4,2.2,2.7,"31,412",POINT (-80.8813294 35.4732344),3714700,DISABLT,SELFCARE,CrdPrv,Self-care Disability
2023,NC,North Carolina,Cornelius,BRFSS,Disability,Vision disability among adults,%,Age-adjusted prevalence,2.9,2.7,3.2,"31,412",POINT (-80.8813294 35.4732344),3714700,DISABLT,VISION,AgeAdjPrv,Vision Disability
2023,NC,North Carolina,Cornelius,BRFSS,Disability,Vision disability among adults,%,Crude prevalence,3.1,2.8,3.4,"31,412",POINT (-80.8813294 35.4732344),3714700,DISABLT,VISION,CrdPrv,Vision Disability
2023,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Arthritis among adults,%,Age-adjusted prevalence,21.1,18.5,23.7,"31,412",POINT (-80.8813294 35.4732344),3714700,HLTHOUT,ARTHRITIS,AgeAdjPrv,Arthritis
2023,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Arthritis among adults,%,Crude prevalence,24.9,21.9,27.8,"31,412",POINT (-80.8813294 35.4732344),3714700,HLTHOUT,ARTHRITIS,CrdPrv,Arthritis
2023,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,High blood pressure among adults,%,Age-adjusted prevalence,26.1,22.9,29.2,"31,412",POINT (-80.8813294 35.4732344),3714700,HLTHOUT,BPHIGH,AgeAdjPrv,High Blood Pressure
2023,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,High blood pressure among adults,%,Crude prevalence,29.9,26.4,33.4,"31,412",POINT (-80.8813294 35.4732344),3714700,HLTHOUT,BPHIGH,CrdPrv,High Blood Pressure
2023,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Cancer (non-skin) or melanoma among adults,%,Age-adjusted prevalence,7.7,6.9,8.4,"31,412",POINT (-80.8813294 35.4732344),3714700,HLTHOUT,CANCER,AgeAdjPrv,Cancer (non-skin) or Melanoma
2023,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Cancer (non-skin) or melanoma among adults,%,Crude prevalence,9.2,8.3,10.1,"31,412",POINT (-80.8813294 35.4732344),3714700,HLTHOUT,CANCER,CrdPrv,Cancer (non-skin) or Melanoma
2023,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Current asthma among adults,%,Age-adjusted prevalence,9.9,8.6,11.1,"31,412",POINT (-80.8813294 35.4732344),3714700,HLTHOUT,CASTHMA,AgeAdjPrv,Current Asthma
2023,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,9.9,8.7,11.2,"31,412",POINT (-80.8813294 35.4732344),3714700,HLTHOUT,CASTHMA,CrdPrv,Current Asthma
2023,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Coronary heart disease among adults,%,Age-adjusted prevalence,4.2,3.8,4.7,"31,412",POINT (-80.8813294 35.4732344),3714700,HLTHOUT,CHD,AgeAdjPrv,Coronary Heart Disease
2023,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Coronary heart disease among adults,%,Crude prevalence,5,4.5,5.6,"31,412",POINT (-80.8813294 35.4732344),3714700,HLTHOUT,CHD,CrdPrv,Coronary Heart Disease
2023,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults,%,Age-adjusted prevalence,4.1,3.6,4.6,"31,412",POINT (-80.8813294 35.4732344),3714700,HLTHOUT,COPD,AgeAdjPrv,COPD
2023,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Chronic obstructive pulmonary disease among adults,%,Crude prevalence,4.7,4.2,5.3,"31,412",POINT (-80.8813294 35.4732344),3714700,HLTHOUT,COPD,CrdPrv,COPD
2023,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Depression among adults,%,Age-adjusted prevalence,24.6,21.1,28,"31,412",POINT (-80.8813294 35.4732344),3714700,HLTHOUT,DEPRESSION,AgeAdjPrv,Depression
2023,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Depression among adults,%,Crude prevalence,23.7,20.4,27.1,"31,412",POINT (-80.8813294 35.4732344),3714700,HLTHOUT,DEPRESSION,CrdPrv,Depression
2023,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Age-adjusted prevalence,7.1,6,8.1,"31,412",POINT (-80.8813294 35.4732344),3714700,HLTHOUT,DIABETES,AgeAdjPrv,Diabetes
2023,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,8.6,7.3,9.8,"31,412",POINT (-80.8813294 35.4732344),3714700,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,High cholesterol among adults who have ever been screened,%,Age-adjusted prevalence,30.1,26.4,33.8,"31,412",POINT (-80.8813294 35.4732344),3714700,HLTHOUT,HIGHCHOL,AgeAdjPrv,High Cholesterol
2023,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,High cholesterol among adults who have ever been screened,%,Crude prevalence,35.1,31.1,38.9,"31,412",POINT (-80.8813294 35.4732344),3714700,HLTHOUT,HIGHCHOL,CrdPrv,High Cholesterol
2023,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Obesity among adults,%,Age-adjusted prevalence,25.1,20.6,29.8,"31,412",POINT (-80.8813294 35.4732344),3714700,HLTHOUT,OBESITY,AgeAdjPrv,Obesity
2023,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Obesity among adults,%,Crude prevalence,25.8,21.1,30.6,"31,412",POINT (-80.8813294 35.4732344),3714700,HLTHOUT,OBESITY,CrdPrv,Obesity
2023,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Stroke among adults,%,Age-adjusted prevalence,2.2,2,2.4,"31,412",POINT (-80.8813294 35.4732344),3714700,HLTHOUT,STROKE,AgeAdjPrv,Stroke
2023,NC,North Carolina,Cornelius,BRFSS,Health Outcomes,Stroke among adults,%,Crude prevalence,2.6,2.3,2.8,"31,412",POINT (-80.8813294 35.4732344),3714700,HLTHOUT,STROKE,CrdPrv,Stroke
2023,NC,North Carolina,Cornelius,BRFSS,Health Status,Fair or poor self-rated health status among adults,%,Age-adjusted prevalence,11.2,9.7,12.8,"31,412",POINT (-80.8813294 35.4732344),3714700,HLTHSTAT,GHLTH,AgeAdjPrv,General Health
2023,NC,North Carolina,Cornelius,BRFSS,Health Status,Fair or poor self-rated health status among adults,%,Crude prevalence,11.9,10.3,13.5,"31,412",POINT (-80.8813294 35.4732344),3714700,HLTHSTAT,GHLTH,CrdPrv,General Health
2023,NC,North Carolina,Cornelius,BRFSS,Health Status,Frequent mental distress among adults,%,Age-adjusted prevalence,14.7,12.9,16.5,"31,412",POINT (-80.8813294 35.4732344),3714700,HLTHSTAT,MHLTH,AgeAdjPrv,Frequent Mental Distress
2023,NC,North Carolina,Cornelius,BRFSS,Health Status,Frequent mental distress among adults,%,Crude prevalence,13.7,12,15.4,"31,412",POINT (-80.8813294 35.4732344),3714700,HLTHSTAT,MHLTH,CrdPrv,Frequent Mental Distress
2023,NC,North Carolina,Cornelius,BRFSS,Health Status,Frequent physical distress among adults,%,Age-adjusted prevalence,9.1,8,10.3,"31,412",POINT (-80.8813294 35.4732344),3714700,HLTHSTAT,PHLTH,AgeAdjPrv,Frequent Physical Distress
2023,NC,North Carolina,Cornelius,BRFSS,Health Status,Frequent physical distress among adults,%,Crude prevalence,9.9,8.6,11.1,"31,412",POINT (-80.8813294 35.4732344),3714700,HLTHSTAT,PHLTH,CrdPrv,Frequent Physical Distress
2023,NC,North Carolina,Cornelius,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Age-adjusted prevalence,6.8,5.9,7.9,"31,412",POINT (-80.8813294 35.4732344),3714700,PREVENT,ACCESS2,AgeAdjPrv,Health Insurance
2023,NC,North Carolina,Cornelius,BRFSS,Prevention,Current lack of health insurance among adults aged 18-64 years,%,Crude prevalence,6.3,5.4,7.3,"31,412",POINT (-80.8813294 35.4732344),3714700,PREVENT,ACCESS2,CrdPrv,Health Insurance
2023,NC,North Carolina,Cornelius,BRFSS,Prevention,Taking medicine to control high blood pressure among adults with high blood pressure,%,Age-adjusted prevalence,55.8,51.1,60.3,"31,412",POINT (-80.8813294 35.4732344),3714700,PREVENT,BPMED,AgeAdjPrv,High Blood Pressure Medication
2023,NC,North Carolina,Cornelius,BRFSS,Prevention,Taking medicine to control high blood pressure among adults with high blood pressure,%,Crude prevalence,76.2,72.5,79.3,"31,412",POINT (-80.8813294 35.4732344),3714700,PREVENT,BPMED,CrdPrv,High Blood Pressure Medication
2023,NC,North Carolina,Cornelius,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults,%,Age-adjusted prevalence,77.6,74,80.8,"31,412",POINT (-80.8813294 35.4732344),3714700,PREVENT,CHECKUP,AgeAdjPrv,Annual Checkup
2023,NC,North Carolina,Cornelius,BRFSS,Prevention,Visits to doctor for routine checkup within the past year among adults,%,Crude prevalence,79.9,76.6,82.8,"31,412",POINT (-80.8813294 35.4732344),3714700,PREVENT,CHECKUP,CrdPrv,Annual Checkup
2023,NC,North Carolina,Cornelius,BRFSS,Prevention,Cholesterol screening among adults,%,Age-adjusted prevalence,88.8,87.1,90.2,"31,412",POINT (-80.8813294 35.4732344),3714700,PREVENT,CHOLSCREEN,AgeAdjPrv,Cholesterol Screening
2023,NC,North Carolina,Cornelius,BRFSS,Prevention,Cholesterol screening among adults,%,Crude prevalence,90.7,89.3,91.9,"31,412",POINT (-80.8813294 35.4732344),3714700,PREVENT,CHOLSCREEN,CrdPrv,Cholesterol Screening
2023,NC,North Carolina,Cornelius,BRFSS,Health Risk Behaviors,Binge drinking among adults,%,Age-adjusted prevalence,18,15,21.2,"31,412",POINT (-80.8813294 35.4732344),3714700,RISKBEH,BINGE,AgeAdjPrv,Binge Drinking
2023,NC,North Carolina,Cornelius,BRFSS,Health Risk Behaviors,Binge drinking among adults,%,Crude prevalence,16.4,13.6,19.3,"31,412",POINT (-80.8813294 35.4732344),3714700,RISKBEH,BINGE,CrdPrv,Binge Drinking
2023,NC,North Carolina,Cornelius,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Age-adjusted prevalence,8.6,7.3,10,"31,412",POINT (-80.8813294 35.4732344),3714700,RISKBEH,CSMOKING,AgeAdjPrv,Current Cigarette Smoking
2023,NC,North Carolina,Cornelius,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,8.7,7.4,10.1,"31,412",POINT (-80.8813294 35.4732344),3714700,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking
2023,NC,North Carolina,Cornelius,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Age-adjusted prevalence,15.3,12.7,18,"31,412",POINT (-80.8813294 35.4732344),3714700,RISKBEH,LPA,AgeAdjPrv,Physical Inactivity
2023,NC,North Carolina,Cornelius,BRFSS,Health Risk Behaviors,No leisure-time physical activity among adults,%,Crude prevalence,15.9,13.3,18.7,"31,412",POINT (-80.8813294 35.4732344),3714700,RISKBEH,LPA,CrdPrv,Physical Inactivity
2023,NC,North Carolina,Cornelius,BRFSS,Health-Related Social Needs,Lack of social and emotional support among adults,%,Age-adjusted prevalence,19.1,16.3,22.1,"31,412",POINT (-80.8813294 35.4732344),3714700,SOCLNEED,EMOTIONSPT,AgeAdjPrv,Lack of Social/Emotional Support
2023,NC,North Carolina,Cornelius,BRFSS,Health-Related Social Needs,Lack of social and emotional support among adults,%,Crude prevalence,18.5,15.8,21.4,"31,412",POINT (-80.8813294 35.4732344),3714700,SOCLNEED,EMOTIONSPT,CrdPrv,Lack of Social/Emotional Support
2023,NC,North Carolina,Cornelius,BRFSS,Health-Related Social Needs,Food insecurity in the past 12 months among adults,%,Age-adjusted prevalence,7.8,6.7,9.2,"31,412",POINT (-80.8813294 35.4732344),3714700,SOCLNEED,FOODINSECU,AgeAdjPrv,Food Insecurity
2023,NC,North Carolina,Cornelius,BRFSS,Health-Related Social Needs,Food insecurity in the past 12 months among adults,%,Crude prevalence,7.4,6.3,8.7,"31,412",POINT (-80.8813294 35.4732344),3714700,SOCLNEED,FOODINSECU,CrdPrv,Food Insecurity
2023,NC,North Carolina,Cornelius,BRFSS,Health-Related Social Needs,Received food stamps in the past 12 months among adults,%,Age-adjusted prevalence,5.3,4.5,6.3,"31,412",POINT (-80.8813294 35.4732344),3714700,SOCLNEED,FOODSTAMP,AgeAdjPrv,Food Stamps
2023,NC,North Carolina,Cornelius,BRFSS,Health-Related Social Needs,Received food stamps in the past 12 months among adults,%,Crude prevalence,5.1,4.3,6,"31,412",POINT (-80.8813294 35.4732344),3714700,SOCLNEED,FOODSTAMP,CrdPrv,Food Stamps
2023,NC,North Carolina,Cornelius,BRFSS,Health-Related Social Needs,Housing insecurity in the past 12 months among adults,%,Age-adjusted prevalence,7.4,6.4,8.6,"31,412",POINT (-80.8813294 35.4732344),3714700,SOCLNEED,HOUSINSECU,AgeAdjPrv,Housing Insecurity
2023,NC,North Carolina,Cornelius,BRFSS,Health-Related Social Needs,Housing insecurity in the past 12 months among adults,%,Crude prevalence,6.8,5.9,8,"31,412",POINT (-80.8813294 35.4732344),3714700,SOCLNEED,HOUSINSECU,CrdPrv,Housing Insecurity
2023,NC,North Carolina,Cornelius,BRFSS,Health-Related Social Needs,Lack of reliable transportation in the past 12 months among adults,%,Age-adjusted prevalence,5,4.4,5.7,"31,412",POINT (-80.8813294 35.4732344),3714700,SOCLNEED,LACKTRPT,AgeAdjPrv,Transportation Barriers
2023,NC,North Carolina,Cornelius,BRFSS,Health-Related Social Needs,Lack of reliable transportation in the past 12 months among adults,%,Crude prevalence,4.7,4.1,5.3,"31,412",POINT (-80.8813294 35.4732344),3714700,SOCLNEED,LACKTRPT,CrdPrv,Transportation Barriers
2023,NC,North Carolina,Cornelius,BRFSS,Health-Related Social Needs,Loneliness among adults,%,Age-adjusted prevalence,29.8,25.7,34.4,"31,412",POINT (-80.8813294 35.4732344),3714700,SOCLNEED,LONELINESS,AgeAdjPrv,Loneliness
2023,NC,North Carolina,Cornelius,BRFSS,Health-Related Social Needs,Loneliness among adults,%,Crude prevalence,28.3,24.3,32.6,"31,412",POINT (-80.8813294 35.4732344),3714700,SOCLNEED,LONELINESS,CrdPrv,Loneliness
