GEOID,Town,Tot_pop,year,Income Under $25k,Income $25k - $50k,Income $50k - $100k,Income $100k +,own_no_veh,rent_no_veh,emp_insured,emp_uninsured,unemp_insured,unemp_uninsured,tot_lf,nilf_insured,nilf_uninsured,tot_ins_inc_pop,ins_U25,no_ins_U25,ins_25_50,no_ins_25_50,ins_50_75,no_ins_50_75,ins_75_100,no_ins_75_100,ins_100_above,no_ins_100_above,all_ins,all_unins,ins_U18,ins_19_25,ins_26_34,ins_35_64,ins_65_over,unins_U18,unins_19_25,unins_26_34,unins_35_64,unins_65_over,emp_based_ins,dir_purchase_ins,medicare_cov,medicaid_cov,tricare_cov,VA_cov,other_cov_type
3716400,Davidson,15660,2024,577,475,737,3800,79,224,6325,269,270,2,6866,2465,55,13857,817,160,575,177,482,0,769,12,10691,174,15059,534,3586,2017,672,6371,2413,207,13,34,279,1,9477,1278,1869,748,75,0,649
3733120,Huntersville,63969,2024,1179,2423,6331,15122,228,471,31116,1775,713,421,34025,4773,338,63577,1417,152,4682,414,5513,696,6390,349,42456,1508,60525,3130,15555,3197,6523,26882,8368,517,247,947,1340,79,36979,4404,6698,2407,196,78,3103
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
